index,REQUESTID,STRSEGID,REQUESTTYP,Request_type,REQUESTDAT,Day,COMMENTS,USERTYPE,NEAR_INTER,NEAR_STR,SNA_NAME,0
1058,636,2812844647328137505791,Speeding,Speeding,2/8/2018,Thu,"People drive as if this road is a small highway.  It's very dangerous when pulling in/out of drives, including going to mt. airy forest.",drives,BLUE SPRUCE RD & FURNAS RIDGE RD,Colerain Av,Mt. Airy,
1059,637,3362950212937135362220,Crosswalk Needed,Crosswalk Needed,2/8/2018,Thu,"There was a crosswalk here before they redid the conservatory some years back. I have repeatedly asked our neighborhood liaisons (not Current ones) to look into the problem, no luck.",bikes,EDEN PARK DR & MARTIN DR,Eden Park Dr,Walnut Hills,Agree Agree. Need crosswalk. A little paint would go a long way. Speed limits need to be enforced. Cars race through Eden Park.
1061,624,4282532657742827996749,Parking too close to intersection,Parking too close to intersection,2/8/2018,Thu,"When cars park in either side of Webbland Place it?ÇÖs difficulit to see oncoming traffic.  Trucks making deliveries completely block view and any other tall vehicles. Also, traffic gets backed up around 5 making difficult to get on or out of Webbland.",drives,WEBBLAND PL & MONTGOMERY RD,Montgomery Rd,Pleasant Ridge,Agreed
1062,638,3352567918833528409399,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/8/2018,Thu,One of the most difficult areas to merge to Columbia Pkwy traffic. Really?,drives,E 3RD ST TO COLUMBIA EB PKWY RAMP & FT WSHNGTN EB TO COLUMBIA EB RAMP,Martin Dr,East End,
1063,639,2811286538028124266281,Other,Other,2/8/2018,Thu,Mt. Airy Forest is a beautiful park I frequently attend but sometimes feel unsafe as I've seen several drug deals in parking lots in warmer weather. Also trash and broken glass in parking lots. Monitor more closely.,walks,BLUE SPRUCE RD & ARBORETUM RD,Blue Spruce Rd,Mt. Airy,
1064,641,4547823453245487764682,Other,Other,2/8/2018,Thu,"I'd rather have a colonoscopy than to try and navigate Erie/Redbank on foot.  Unless Cincinnati and Fairfax work this out, we will continue to have to walk 10X as far as necessary in order to get through this ""fiefdoms on steroids"" intersection.",walks,ERIE AV BRIDGE & RED BANK RD,Erie Av,Madisonville,Agree
1065,640,4282250639642825326577,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/8/2018,Thu,"Drivers turning left from westbound Montgomery Rd onto southbound Ridge will continue to turn left even after the green left turn arrow has expired, especially during morning and evening rush hour.",drives,RIDGE AV & MONTGOMERY RD,Montgomery Rd,Pleasant Ridge,
1066,642,3352842982437230350394,Speeding,Speeding,2/8/2018,Thu,"If  you get here on the riverside, you're stuck. No way to cross street with Martin st. traffic coming in both directions, and hidden by curves in road.",walks,HILL ST & MARTIN DR,Martin Dr,Walnut Hills,
1067,657,3324810663033256215869,Other,Other,2/8/2018,Thu,The left turn lane inductive loop for the traffic light is not sensitive enough for bikes. I need to be right on the outside wire and lean the wheel all the way down so my rim is almost touching the road to trigger it.,bikes,W 2ND ST BRIDGE & OPEN LAND,Ft Wshngtn Eb Wy To W 2Nd St Ramp,Downtown,
1068,643,4283012689142834277173,Speeding,Speeding,2/8/2018,Thu,"In both directions of Montgomery Rd, if you are driving at 25-30 MPH, you will get tailgated or passed. This imperils drivers and pedestrians from Pleasant Ridge through Kennedy Heights and Silverton.",drives,MONTGOMERY RD & WOODMONT AV,Montgomery Rd,Pleasant Ridge,I agree
1069,658,3323488622633235616809,Other,Other,2/8/2018,Thu,A bike cannot get this light to turn green.,bikes,W 3RD ST & LINN ST,Gest St,Queensgate,
1070,659,3294873790232953467860,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/8/2018,Thu,vehicles turning from Straight St. north onto Clifton frequently fail to see pedestrians or do not want to wait for them crossing and cut the turn close.,walks,STRATFORD AV & STRAIGHT ST,Straight St,CUF,
1071,660,4079328272142495642697,Crosswalk Needed,Crosswalk Needed,2/8/2018,Thu,"I would like to see a crosswalk somewhere across Wasson, near HPA/Drake. Many students from HP school and St. Mary cross there daily.",walks,MONTEITH AV & WASSON RD,Wasson Rd,Oakley,I agree
1072,644,3285495927332855289596,Jaywalking,Jaywalking,2/8/2018,Thu,"This area of Clifton Ave is a nightmare because UC students jaywalk. Even though there is a cross walk on the south side of the intersection, many try to cross on the north, or really anywhere along Clifton",drives,CLIFTON CT & SWISS CHALET CT,Clifton Av,CUF,"A crosswalk is needed on the north side of the Clifton Court intersection, or even better, probasco! Poor traffic design encourages jaywalking in this heavy pedestrian area. Agree. Clearly crosswalks are needed for safe crossing."
1075,645,2961683473932721674634,No Sidewalks,No Sidewalks,2/8/2018,Thu,"Students from Cristo de Rey school walk on Clifton Hills Avenue to get to the bus stops on Ludlow, but there are no sidewalks and visibility is poor especially at night.",walks,CLIFTON CREST TER & CLIFTON HILLS TER,Clifton Hills Av,Clifton,I agree. I agree.  Walking in the street before sunrise is very dangerous.  Sidewalks are needed.
1077,646,2960769419029616834739,Lack of Visibility,Lack of Visibility,2/8/2018,Thu,"No sidewalks and hard to see people walking in street, especially at night, because of the hill and curves",walks,CLIFTON CREST TER & CLIFTON HILLS TER,Clifton Hills Av,Clifton,
1078,661,2970382021029706570174,Speeding,Speeding,2/8/2018,Thu,Crosswalk with a four way stop needed,walks,CHASE AV & LANGLAND ST,Chase Av,Northside,
1079,662,4099186206440994201532,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/8/2018,Thu,"Most of the time cars run this red light, resulting in accidents for vehicles leaving gas station who also pull out quickly as soon as the light turns red.",drives,COLUMBIA PKWY & STANLEY AV,Columbia Pkwy,East End,"No traffic laws are followed at this intersection.  Illegal left turns into Speedway back up traffic on Columbia Pkwy and Stanley.  Illegal left turn onto Columbia Pkwy from Stanley put drivers and pedestrian's at risk.  Cars go through red light. All driving rules are ignored.  It seems to be every driver for himself b/c of lack of policing. I agree.  In addition, there is a no left turn into the Speedway from Stanley which is consistently ignored."
1082,663,4099186206440994201532,Speeding,Speeding,2/8/2018,Thu,Typical to come to a complete stop to make a left into my driveway.  I'm afraid of being rear ended.  Drivers are speeding and distracted.  Been many close calls.,drives,COLUMBIA PKWY & TUSCULUM AV,Columbia Pkwy,Columbia Tusculum,I agree.  Speeding is a big issue in our neighborhood.
1083,647,4098619177040989001203,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/8/2018,Thu,,walks,TUSCULUM AV & EASTERN AV,Eastern Av,East End,Agree I don?ÇÖt know what it is about this intersection but I?ÇÖve almost been hit many times.
1085,648,4109284077542195700448,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/8/2018,Thu,,walks,DONHAM AV & EASTERN AV,Eastern Av,East End,Agree
1086,664,2981152112429812861129,Crosswalk Needed,Crosswalk Needed,2/8/2018,Thu,"A four way stop is a needed change here. This is a prime crossing for children going to the playground and walking to/from school. There is poor visibility down the through street Pullan, which cars travel fast down.",walks,PULLAN AV & FERGUS ST,Pullan Av,Northside,
1087,665,2971250078329812861129,Lack of Visibility,Lack of Visibility,2/8/2018,Thu,"A four way stop is a needed change here. This is a prime crossing for children going to the playground and walking to/from school. There is poor visibility down the through street Pullan, which cars travel fast down.",drives,PULLAN AV & FERGUS ST,Fergus St,Northside,
1088,666,3397571344633878582568,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/8/2018,Thu,"south-bound Vine cars turning onto Ruther.  Cross from inside lane to outside lane, barrel straight-away at full speed.  Difficult for pedestrians;  cars don't ever indicate they are turning by either slowing or a turn signal",walks,RUTHER AV & GLENMARY AV,Ruther Av,CUF,"Outrageous speeding, lack of signaling or stopping when headed up Ruther. This happens regularly - vehicles ignore pedestrians in cross walk and they do not stop.  Very dangerous."
1090,465,4691664929446917259529,Lack of Visibility,Lack of Visibility,2/7/2018,Wed,Turning from Glade onto Sutton is hazardous.  Vehicles routinely block visibility of oncoming traffic.,drives,SUTTON AV & GLADE AV,Sutton Av,Mt. Washington,I Agree!! I Agree I agree. I agree.
1094,451,3315993945633160259300,""" src=""images/09 - Failure to yield while turning.png""></span>&nbsp;Vehicles do not yield at crosswalks",Vehicles do not yield at crosswalks,2/7/2018,Wed,,walks,ERICH KUNZEL WY & ELM ST,Elm St,Downtown,
1095,452,3369039347533693363445,Crosswalk Needed,Crosswalk Needed,2/7/2018,Wed,There is a crosswalk on one side of the street (the east side) but none on the west. Additional signage and additional crosswalk on the west side would improve visibility. Perhaps also one of those paddles in the center of the street.,walks,YOUNG ST & DORCHESTER AV,Dorchester Av,Mt. Auburn,There needs to be a 4 way stop sign at the intersection of Dorchester and Young.  Vehicles FLY up and down this road.  It is dangerous to try and cross Dorchester at this point (driving and walking).  The speed limit also is not very visibly posted.
1096,453,3306205371133063473796,Long wait for walk signal,Long wait for walk signal,2/7/2018,Wed,This intersection is notorious for being a long wait. Most people jaywalk out of frustration. It needs to be more responsive to pedestrians.,walks,W CLIFTON AV & VINE ST,Peete St,Over-the-Rhine,I agree
1097,454,3306133313133063033129,Long wait for walk signal,Long wait for walk signal,2/7/2018,Wed,This intersection is notorious for being a long wait. Most people jaywalk out of frustration. It needs to be more responsive to pedestrians.,walks,FINDLAY ST & VINE ST,Findlay St,Over-the-Rhine,
1098,455,4079051255240791062743,Crosswalk Needed,Crosswalk Needed,2/7/2018,Wed,,walks,HYDE PARK AV & WASSON RD,Hyde Park Av,Oakley,Agree! I agree! Crosswalk needed desperately! Agreed. It?ÇÖs becoming really difficult to cross here. Agreed! It?ÇÖs impossible!
1102,466,3718434474637598325292,Speeding,Speeding,2/7/2018,Wed,"riverside drive from bain st. to the underpass is two lanes,reducing to one.cars race to beat cars inthe other lane. very speeds.Especially bad at rush hour",drives,RIVERSIDE DR & VANCE ST,Riverside Dr,East End,Speeding is out of control.  Sometimes drivers ignore a stop sign or red light and whiz on through.
1103,467,3307306268633074182786,Lack of Visibility,Lack of Visibility,2/7/2018,Wed,Cars going up Lang have to stop at a very steep slope and wait for Mulberry traffic to pass. Many go through this intersection quickly to avoid stopping on the steep slope. Switching the stop signs to affect Mulberry would make a safer intersection.,drives,LANG ST & MULBERRY ST,Lang St,Over-the-Rhine,A stop sign for Mulberry would help the Lang intersection greatly. This is a relatively high speed area with few stops.
1104,468,4702939484347032904845,Crosswalk Needed,Crosswalk Needed,2/7/2018,Wed,"Safe crossing from the bus stop to SVDP is needed here and not up at Corbly. The sidewalks are horrible in the winter for wheelchairs, strollers and pedestrians!",uses an assistive device,BEECHMONT AV & ROXBURY ST,Roxbury St,Mt. Washington,cross walk needed IN ADDITION to the one at Corbly Crosswalk def needed at Roxbury or Plaza
1106,469,3379375719833794027480,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/7/2018,Wed,The street is too fast. Pedestrians cross at their own risk as cars race down Wm Howard Taft. Flashing lights when a pedestrian is crossing would be great to alert drivers. Constant flashing will quickly be ignored.,drives,EDEN AV & WILLIAM H TAFT RD,Eden Av,Corryville,
1107,456,3306067177333062101759,Speeding,Speeding,2/7/2018,Wed,Cars constantly go way above the speed limit and endanger the lives of residents.,walks,GOOSE AL & W LIBERTY ST,W Liberty St,Over-the-Rhine,
